Investor_ID,Name,Age,Country,Income_Level,Risk_Tolerance,Preferred_Investment,Portfolio_Value,Risk_Adjusted_Returns (%),Liquidity_Preference,Net_Worth,Date_Joined,Email
36b438c4-90bc-40be-b967-c7aaa86458cb,Justin Rubio,48,Iran,High,High,Cryptocurrency,2387298,238729.8,Annually,3597198.39,2020-10-03,emilyjohnson@black-hess.info
8801af1c-a5dd-4b71-86d3-60ed1555611e,Christina Dodson,52,Saint Vincent and the Grenadines,High,Low,Hedge Funds,9728866,291865.98,Quarterly,26565658.07,2024-04-25,sheena86@hotmail.com
94621b72-4826-4fbb-86c8-d69dfdf4f2c8,Mr. Christopher Shannon,35,Lebanon,Low,Medium,Private Equity,4350253,261015.18,Quarterly,11846141.55,2022-03-19,trevormorris@yahoo.com
f9ca5157-e05d-4e67-9f52-9a205fde4686,Michael Torres,59,Moldova,High,Low,Hedge Funds,9687209,290616.27,Monthly,19378087.37,2023-10-14,rebecca43@gmail.com
6178bbd7-79c3-4241-a5d7-0d41ec9dd2c1,Louis Hanson,59,Aruba,Medium,High,Real Estate,5580098,558009.8,Quarterly,8526101.51,2023-10-30,hdiaz@thomas.info
7487c63f-fbf4-4d62-adb4-0aa9d8786d7f,Kevin Garner,26,Denmark,Low,Medium,Real Estate,9543641,572618.46,Quarterly,26433906.5,2024-05-05,franktate@yahoo.com
2dae671c-ab66-49cb-9aed-11fa20f763db,Erika Adams,54,Croatia,High,Medium,Real Estate,7452535,447152.1,Daily,11935034.64,2023-03-31,deniserichardson@gmail.com
291b25e0-561a-478c-a46a-becaef3bfc79,Elizabeth Young,24,South Africa,Medium,High,Hedge Funds,2040079,204007.9,Monthly,4247066.89,2025-01-07,justinjohnson@yahoo.com
2f5fb255-0b94-4240-ac9c-57f0d1408eb4,Mr. David Parks Jr.,39,South Africa,Ultra-High,High,Private Equity,4588822,458882.2,Daily,9306607.92,2021-05-22,ericwest@hotmail.com
bb831443-18dc-4d91-b0bd-56bdcc13152f,Kimberly Page,68,Libyan Arab Jamahiriya,High,Low,Hedge Funds,6212590,186377.7,Annually,14759541.87,2020-04-26,oliviaknight@gmail.com
7ca2a221-4922-4b95-a3d4-113980f0793b,Elizabeth Smith,41,Jersey,High,Medium,Stocks,8307167,498430.02,Monthly,13313989.09,2022-01-16,parkeraaron@johnson.biz
d68d3e5c-36c4-48c0-9d5a-5b1033414e88,Steven Porter,70,Czech Republic,High,Medium,Stocks,8257362,495441.72,Quarterly,17322667.67,2020-05-16,perezfernando@hotmail.com
312e6207-1025-4359-85aa-cbcbba8df91a,Candice Allen,20,Turkey,High,Medium,Cryptocurrency,7334268,440056.08,Daily,20308546.5,2020-03-11,vbailey@todd-allen.com
aea7e876-27f1-40c4-adfc-f3dccd6d8884,Stephen Dominguez,24,Mozambique,High,High,Real Estate,3783728,378372.8,Annually,9040328.66,2024-09-25,andrewdavis@wallace-myers.com
21339e34-176e-46f6-a41d-6c28900c25f4,Michael Goodman,64,Turks and Caicos Islands,Low,Low,Hedge Funds,5139965,154198.95,Daily,10100579.13,2021-03-15,fcarrillo@conley-huynh.com
a3eaf6c3-b32d-4df9-9dbb-c75fed50b38c,Shirley Gonzalez,19,Falkland Islands (Malvinas),Ultra-High,High,Private Equity,3614284,361428.4,Quarterly,10025643.64,2023-04-05,livingstonamy@wiggins-duarte.com
a4becb46-decb-44b9-9483-dd4bdf99177c,Justin Stephens,60,Suriname,Low,Medium,Hedge Funds,3781725,226903.5,Monthly,9071285.27,2021-09-09,reyesbrandon@gmail.com
9bc61f20-3b38-4443-9ebb-401783af1595,Samantha Johnson,75,Bouvet Island (Bouvetoya),Medium,High,Hedge Funds,9882329,988232.9,Daily,16331521.34,2022-11-30,terry78@clark-young.org
d01c8333-367b-46df-8ec1-d029142c345f,Shane Rodriguez,18,Zambia,Low,Medium,Stocks,2189763,131385.78,Monthly,5358310.27,2022-03-02,herreraperry@stone.com
23703ad1-823b-490f-9b65-37f99ffb9f40,Sean Warner,31,San Marino,Medium,Medium,Stocks,6237356,374241.36,Annually,18552944.34,2020-09-21,mwagner@smith.biz
9b06eccf-a2ed-499a-a2b3-df7282808624,Steven Lam,56,Wallis and Futuna,Low,High,Real Estate,6217233,621723.3,Monthly,9355526.99,2024-06-15,pwise@gmail.com
addffbaf-0bc8-41a1-9d92-8b9c17ec7d8c,Amanda Miller,24,Serbia,Ultra-High,High,Private Equity,5115495,511549.5,Monthly,13257441.96,2023-07-21,anitaluna@koch-young.com
11d30a73-e3c7-4386-9550-1fc7e564a5ec,Jacqueline Mayer,62,Morocco,Medium,Low,Hedge Funds,2970750,89122.5,Annually,5082124.95,2020-10-14,umyers@bennett.com
c529ec9d-a945-4840-8f71-02c1ee8ac534,Jennifer Jenkins,64,Mauritius,High,High,Real Estate,1388523,138852.3,Monthly,3955762.83,2022-09-05,walshmelissa@gmail.com
d3bc4355-29b2-448e-9d04-7e0c8cf0a3a5,Destiny Torres,69,Norway,Low,High,Stocks,2143836,214383.6,Daily,4548337.75,2020-03-02,james44@yahoo.com
dba8d787-61ba-448a-a88a-959bf1c71ef0,Teresa Stewart,34,Iceland,Low,High,Real Estate,8931938,893193.8,Daily,22212644.72,2021-11-25,davisjulie@fleming.info
ccd73ab0-931a-4813-9a47-21a63d1734de,Matthew Ramirez,29,Netherlands,Ultra-High,Low,Hedge Funds,4632921,138987.63,Monthly,12585476.54,2024-06-13,jason05@mcdonald.com
602d18b9-67f2-4b59-8216-214cd0096d97,Brian Mendez,43,Netherlands,High,High,Real Estate,5793798,579379.8,Annually,11836490.02,2023-04-08,terri39@jones.biz
d5a60043-0e61-45e1-8d49-aa479795cb03,Michael Wright,25,Falkland Islands (Malvinas),Medium,Low,Hedge Funds,7881842,236455.26,Quarterly,19428586.04,2024-07-03,guerramelissa@yahoo.com
f60b397a-26e1-447a-a635-73df4b1edb55,Andrea Nelson,77,French Polynesia,High,Medium,Hedge Funds,3285042,197102.52,Monthly,8753958.04,2020-10-12,alewis@banks-forbes.com
e10a5ecf-e78f-44a8-b49b-4f3f1d7d8704,Kathleen Warren,36,Aruba,Medium,High,Stocks,7472918,747291.8,Quarterly,19447715.11,2022-07-09,znelson@morgan-johnson.com
bcb55824-8515-4848-bc21-5ddd71ea8128,Kaitlyn Solomon,44,Palestinian Territory,High,Low,Stocks,7455976,223679.28,Annually,16659410.71,2021-02-23,robinsonshelby@crane.com
e5c8b2bc-f065-42f6-9a4c-d4c55b0638e6,Taylor Mercado,57,Cyprus,Medium,Low,Hedge Funds,8891772,266753.16,Quarterly,14702574.18,2021-11-09,qmcdowell@hotmail.com
243dcf1e-1cee-433e-8d93-2b2932bd6c15,Allen Wilson,19,Ecuador,Ultra-High,Medium,Hedge Funds,7176094,430565.64,Daily,14960596.56,2023-10-15,williamsjoshua@yahoo.com
6fd1053a-478a-46f3-84e2-f2932f6958a1,Brandy Taylor,26,Egypt,Ultra-High,Low,Cryptocurrency,995678,29870.34,Monthly,1602632.82,2021-06-28,fuentesjessica@hotmail.com
95cb3654-825c-4fca-b694-864d564d8593,Shawn White,34,Guatemala,Ultra-High,Low,Hedge Funds,9503187,285095.61,Annually,26244770.04,2021-10-23,joannapacheco@gmail.com
b780ad79-4c9b-4835-b71d-1397237640f0,Douglas Joseph,45,Japan,Ultra-High,High,Cryptocurrency,7486567,748656.7,Daily,17965400.27,2023-01-03,fjones@johnson.biz
2cce4d62-6e47-4ed9-88eb-5e35da15bd38,Miranda Bridges,53,Belize,Ultra-High,High,Real Estate,1857269,185726.9,Monthly,4982029.61,2022-06-03,trogers@gmail.com
